fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220928 004647	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	145	TRUE	700429	0.0278054527353521	0.400661943883953	1177	811	5002	24560000	98
20220928 005332	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1017	TRUE	700429	0.00531336963122767	0.799852830576426	1003	283	11370	25820000	99
20220928 005858	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	760	TRUE	700429	0.00549341338810877	0.402042844488453	1459	1024	14986	23310000	100
20220928 005941	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	700429	0.149833405420879	0.579491951332713	1003	359	12481	24960000	101
20220928 010006	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	59	TRUE	700429	0.138240718584268	0.400063804236074	7992	1024	9462	26280000	102
20220928 010100	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	700429	0.0359827689019346	0.799822476413704	1100	200	6933	26300000	103
20220928 010157	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	112	TRUE	700429	0.0527704878688062	0.400127345296766	1119	271	8385	27790000	104
20220928 010225	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	700429	0.149799498061522	0.400393605293965	1832	200	6551	26260000	105
20220928 010402	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	217	TRUE	700429	0.0257719616037803	0.40020247378202	1646	295	8225	27630000	106
20220928 010436	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	79	TRUE	700429	0.12413617324492	0.403777573581778	7726	221	9030	26580000	107
20220928 010548	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	159	TRUE	700429	0.046783073780061	0.401934095917665	3761	202	7192	26820000	108
20220928 010637	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	217	TRUE	700429	0.0348011638811049	0.796582745989663	7989	727	10463	26440000	109
20220928 010718	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	74	TRUE	700429	0.0772263115825414	0.427108687750028	1023	1024	7458	27090000	110
20220928 010758	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	103	TRUE	700429	0.0772733875498627	0.401903354922311	2818	202	9211	27100000	111
20220928 010839	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	700429	0.138757763303345	0.4635586223579	1003	210	8412	26620000	112
20220928 010915	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	84	TRUE	700429	0.084198162593033	0.410988928202541	2222	1024	5001	24480000	113
20220928 011003	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	143	TRUE	700429	0.117685826341979	0.799966274154432	1000	215	9544	25880000	114
20220928 011032	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	79	TRUE	700429	0.110152851601676	0.402312418931989	8000	1023	8008	26310000	115
20220928 011057	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	700429	0.0704990921080276	0.751795329120371	7999	218	9551	26820000	116
20220928 011138	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	700429	0.1141196155247	0.733757187570273	1052	1024	8136	26690000	117
20220928 011218	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	68	TRUE	700429	0.0724842667021193	0.40042301143503	1010	200	11358	26250000	118
20220928 011956	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1750	TRUE	700429	0.00506507872941486	0.543407764620161	7101	1024	7354	26340000	119
20220928 012040	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	72	TRUE	700429	0.080001803808722	0.75083801858316	1019	514	8411	26780000	120
20220928 012200	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	207	TRUE	700429	0.0347254442647504	0.400358406854031	1011	731	9227	27550000	121
20220928 012230	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	64	TRUE	700429	0.149994448045751	0.408353758292156	1491	566	8419	26450000	122
20220928 012944	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1798	TRUE	700429	0.00513272521816575	0.411100640620716	7987	200	10265	26590000	123
20220928 013119	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	190	TRUE	700429	0.0456747808243314	0.410604240882606	1068	745	8432	28740000	124
